title,description,brand,price,currency
15 in. x 59 in. Open Louvered Polypropylene Shutters Pair in Peppercorn,"Its easy to add a decorative touch to your home with these beautiful Louvered Shutters from Ply Gem. Inspired by the classic Old World and early American style, they capture the rich, natural texture of real wood without the splitting, cracking and peeling. Built strong and thick, they're high quality and simple to install. Best of all, they're guaranteed to last a lifetime. Ply Gem shutters feature a tough acrylic coating to protect against sun, wind and rain, and they come in a wide variety of standard heights and widths as well as special order sizes to fit virtually any window. Ply Gem Louvered Shutters can be paired with arched tops to accent circle top windows for added height and impact.",Ply Gem,67.15,USD
1 qt. #350F-7 Wild Mushroom Semi-Gloss Enamel Low Odor Interior Paint & Primer,"BEHR PREMIUM PLUS Interior Paint & Primer offers exceptional durability and hide with a finish that resists mildew and stains. In addition, you'll enjoy the benefits of a low odor paint. PREMIUM PLUS is highly ranked by independent 3rd party labs and meets LEED and GREENGUARD GOLD requirements.",BEHR PREMIUM PLUS,15.48,USD
Anthracite Cordless Light Filtering Fabric Cellular Shade 9/16 in. Single Cell 46.5 in. W x 72 in. L,"BlindsAvenue light filtering cellular shades will save you money on your energy bills. Your home stays cooler in the summer and warmer in the winter with our 9/16 in. single cell light filtering cellular shade. BlindsAvenue neutral tones and popular colors will give you the ability to design your room in style. Strong PVC rails will give you the durability that you need. The light filtering fabric will give you complete privacy while letting light to filter into the room. BlindsAvenue light filtering cellular shades can be ordered to fit any window between 18 in. and 72 in. wide and up to 72 in. tall. BlindsAvenue light filtering cellular shades with cordless operation allows the shade to stop at any length up to 72 in. tall. For windows less than 48 in. tall order the 48 in. height. For windows between 48 in. tall and 72 in. tall order the 72 in. length, you just simply lower the shade at the desired length. BlindsAvenue cordless option also means the cellular shades are perfect for child and pet safety. From home offices to living rooms, nurseries to basements, light filtering cellular shades are perfect for any area of your home or office. Browse our selection of colors and sizes now. We know that you will find something you love.",BlindsAvenue,62.3,USD
"SlimGrip 78-Inch Black Aluminum Truck Running Boards, Select Ram 1500 Quad Cab","Luverne SlimGrip truck running boards combine rugged style and durable construction to make the perfect side step for any truck. They feature powder-coated aluminum construction for long-lasting weather resistance, expanded metal treads for dependable traction and a sleek profile and angular end caps for an aggressive look on your truck. SlimGrip running boards are also equipped with the VersaTrac system for easy customization and each application installs with no drilling required.",Luverne,418.56,USD
6 in. x 28 in. x 28 in. Douglas Fir Balboa Arts and Crafts Rough Sawn Outlooker,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products.",Ekena Millwork,184.75,USD
Espresso Cordless Room Darkening 2.5 in. Premium Faux Wood Blind for Window - 35.5 in. W x 48 in. L,"The 2-1/2 in. Cordless Premium Faux Wood Blind by Home Decorators Collection brings beauty and style to your home. Cordless blinds add a cleaner look and are safer for children and pets. These blinds are designed with 25% larger slats for a greater outside view. Specially designed ""no-hole"" slats offer total light and privacy control. The 3 in. decorative crown valance adds a contemporary style to your home and complements any decor. Slats are made from heat and moisture resistant material that is energy efficient and will not warp or crack. These blinds are ideally used for bathrooms, kitchens and garages. For maximum light and privacy control, rotate the slats downward to ensure proper closure.",Home Decorators Collection,62.66,USD
5 gal. #BL-W10 Maui Mist Semi-Gloss Enamel Low Odor Interior Paint & Primer,"BEHR PREMIUM PLUS Interior Paint & Primer offers exceptional durability and hide with a finish that resists mildew and stains. In addition, you'll enjoy the benefits of a low odor paint. PREMIUM PLUS is highly ranked by independent 3rd party labs and meets LEED and GREENGUARD GOLD requirements.",BEHR PREMIUM PLUS,158,USD
Eleyn 26 in. Indoor Chrome Remote Controlled Fandelier with Light Kit,"This lighted chrome finished ceiling fan can also call fandelier, unlike the other ceiling fan, the said item carries the 3 ABS blade for the fan by the outer 6 light bulbs surrounded by the shiny design that adds brighter illumination.",WAREHOUSE OF TIFFANY,1035.64,USD
1 qt. #M400-5 Baby Spinach Satin Enamel Exterior Paint & Primer,"BEHR PREMIUM PLUS Exterior Paint & Primer is a 100% Acrylic, low VOC formula designed for a long-lasting finish that resists moisture, fading & stains and provides a mildew and corrosion resistant finish. It delivers exceptional hide and excellent touch-up while also providing comprehensive all-climate protection.",BEHR PREMIUM PLUS,17.98,USD
10 in. x 4 in. x 16 ft. 3-Sided (U-Beam) Pecky Cypress Burnished Honey Dew Faux Wood Ceiling Beam,"Our faux wood beams capture the rustic nature of authentic timber at a fraction of the cost and installation time. These hand-painted, lightweight high-density polyurethane beams are simple to install over a wood block securely attached to a ceiling, wall or doorway. Our hand-crafted beams offer a green alternative to hard-to-find real timber, with unmatched authentic wood look. Our beams boast deep, detailed wood textures molded from real wood, and our custom finishes offer limitless possibilities, enabling you to choose just the right color and texture for your home. Enjoy high-end style, at an affordable cost.",Ekena Millwork,799.96,USD
5-Drawer Sandra Cream Storage Chest,"Versatile farmhouse style meets a subtle design to round out this five-drawer chest, a clean lined addition to any aesthetic. Its scalloped details add a dash of dimension to your decor whether in the master bedroom, kid's room, play area, kitchen, bathroom or laundry room. Compact design is suited for empty corners or small-scale spaces alike, so it is truly a go anywhere organizing gem. Five equal sized drawers are ready to tuck away clothes, linens or virtually anything you can think of.",LINON,263.38,USD
Whimsicle Blue Multicolor 2 ft. x 8 ft. Geometric Contemporary Runner Rug,"In true bohemian style, the Whimsicle Collection boasts an eclectic mix of tribal inspired, geometric, and classic floral motifs. Purposefully distressed vintage patinas in neutral, of-the-moment palettes make any Whimsicle Collection rug a versatile foundation for any style of decor. These expertly crafted low-profile area rugs are machine made of soft polyester for a seamless fit in your living room, bedroom, dining room, or home office. This modern area rug from the Whimsicle Collection adds a unique touch to your surroundings. An artistically inspired half tone technique in blue and ivory multicolor creates a sophisticated foundation for contemporary styles of decor. Machine made of soft polyester with a low profile for a seamless fit under your sofa, dining room table, or near areas that need door clearance.",Nourison,33.47,USD
PrimeChime Plus 2 Video Compatible Wired Door Bell Chime Kit with White Stucco Button,"NICOR's New PrimeChime Plus 2 (PRCP2) combines all the popular features of the original PrimeChime Plus now with expanded Smart Home Video Doorbell compatibility (see compatibility list). The PrimeChime Plus 2 features line voltage and low voltage together into a single unit with a built-in transformer. This makes installation clear and simple. The recessed chime hub features a matte white, snap-on faceplate that can be painted for a truly customized look to match your home's interior. The PrimeChime Plus 2 can be wired to two separate doorways, each with their own unique chime tone so you always know which door to answer. Have more entrances? Two units can be linked together to cover additional doorways and provide additional audio coverage in larger homes. This PrimeChime Plus 2 kit includes 1 lighted stucco button and 2 standard lighted buttons. Additional decorative and stucco buttons are also available in a variety of colors to match your home's exterior. This kit includes mounting hardware, installation instructions, and a 1-year warranty from NICOR.",NICOR,65.79,USD
Radiator,"DENSO is a leading supplier of radiators to OE car makers around the world. DENSO's OE experience and know-how ensure its products provide unmatched performance, reliability and fitment. Radiator performance is essential for proper engine cooling and function. DENSO's radiator configurations, tanks, fin pitch, core dimensions and materials meet OE manufacturer's rigid standards. All DENSO radiators pass its strict durability and function tests. As the result, DENSO radiators deliver reliable performance even under the most demanding conditions.",Unbranded,210.99,USD
5-gal. #HDGO64U Classic Ivory Semi-Gloss Latex Exterior Paint,"The Glidden 5-gal. Semi-Gloss Latex Exterior Paint is ideal for application on all exterior siding, trim, doors, shutters and fences. The 100% acrylic latex base resists color fading and other damage caused by UV rays and severe weather conditions. The mildew-resistant coating can be applied in temperatures as low as 35° F, allowing you an extended painting season.",Glidden Premium,135,USD
58.25 in. x 67 in. Frameless Pivot Wall Hinged Shower Bath Door,"A Glass Warehouse frameless shower door can instantly make your bathroom look bigger and brighter, adding a fresh and modern feel yet having the versatility to complement any bathroom style. The GW range of frameless shower doors come with exceptional high quality brass fittings in a variety of beautiful finishes. The added advantage and beauty of a GW glass shower door over our competitors is the 78 in. height. This is the standard height for all our panels, adding unmatched style and extra value to your frameless shower door purchase. GW glass exceeds the American and International Standard codes. All GW shower doors are coated with the revolutionary invisible treatment - EnduroShield. This treatment repels water, soap scum and grime, helping to reduce cleaning time by up to 90%. Glass Warehouse is proud to present you quality products which will endure the test of time and we know you will love.",Glass Warehouse,568.29,USD
5 gal. #W-B-320 White Corn Extra Durable Satin Enamel Interior Paint & Primer,"BEHR ULTRA SCUFF DEFENSE Stain-Blocking Paint and Primer* is an interior paint that's too tough to scuff and sets a new standard for paint durability. BEHR ULTRA SCUFF DEFENSE features breakthrough innovation to deliver a rich finish that is truly durable enough for high-traffic areas.This lush, versatile sheen creates a pearl-like appearance that's ideal for the walls but also for trim, doors, cabinets and indoor furniture. Don't settle or compromise between the look you desire and higher level of durability you require. *A PRIMER COAT MAY BE NEEDED ON SOME SURFACES. SEE BACK LABEL FOR DETAILS.",BEHR ULTRA,185,USD
18 oz. Clear Hand Blown Recycled Glass Water Goblet (Set of 6),"Add modern elegance with this Hand-Blown Wine 8 fl. oz. 9 in x 9 in x 9 in Glass with Amber Rim Set of 6. This stemware holds 8 oz. of your favorite wine. Hand-blown in Columbia with recycled windshield glass, each glass with occasionally have bubbles which add character and individuality to each piece! Each glass rims and stems are a luscious amber color.",Unbranded,107.95,USD
"ONE+ 18V 6 Gal. Cordless Wet/Dry Vacuum (Tool Only) with Hose, Crevice Tool, Floor Nozzle and Extension Wand","RYOBI introduces the ONE+ 6 Gal. Wet/Dry Vacuum. Now, you can experience the corded performance with cordless convenience. This vacuum has a powerful 80 CFM. The multi-size no-tip wheel design and 360 degree mobility keeps your vacuum balanced when rolling over cords and thresholds. On-board accessory storage conveniently holds your crevice tool, floor nozzle and extension wands, while the hose dock provides a simple solution to storing your hose when not in use. Multiple carrying handles allow for easy carrying and the removable top makes emptying dust, debris and liquids quick and mess-free. The compact design allows for space-saving storage when not in use. Replacement filters are sold separately with a model number of A32RF01N. Best of all, this kit is part of the RYOBI ONE+ System of over 225 Cordless Tools that all work on the same battery platform. Backed by the RYOBI 3-Year Manufacturer's Warranty, the ONE+ 6 Gal. Wet/Dry Vacuum includes a 7 ft. x 1-7/8 in. hose, a crevice tool, a floor nozzle, a cartridge style filter, two extension wands, and an operator's manual. Battery and charger sold separately.",RYOBI,99,USD
Ascension by Cap Pannell Country Poster and Print 54 in. x 54 in.,"Bring some larger-than-life style into your space with this Giant Art Canvas Print. Rendered on exquisite, eco-friendly materials with fade resistant archival inks, your bold canvas will makes a dramatic statement in any space. The unique ready to assemble stretching system includes instructions and all the hardware you'll need to display this enormous art print anywhere in your home. The high quality canvas lends the piece a real gallery feel, offering an immense artwork without compromising on quality. Note: Because of the huge dimensions, prints do not ship pre-assembled. The canvas will arrive rolled up with ready to assemble stretcher bars included. Archival light-fade resistant inks. Mirror edge over 1.5 in. deep aluminium stretcher bars. Includes a patented ready to assemble stretching system and hardware to mount.",Clicart,343.63,USD
1 qt. Bermuda Sand PPG1074-3 Flat Interior Latex Paint,"This Glidden Exterior Latex Paint can be tinted to create a durable exterior paint in whatever color you prefer. It has a fade-resistant, 100% acrylic-latex formula that's great for application on exterior siding, brick, masonry and stucco. It offers protection against UV rays, mildew and severe weather conditions.",Glidden Premium,9.98,USD
3/4 in. x 5 in. x 10 in. PVC Standard Foster Plinth Block Moulding with Square Edge,"Upgrade your trim quickly and easily with professional looking results. Use our plinth blocks as a decorative addition to any doorway moulding and casing. Used as a transition piece or base block, they are easy to install and create a professional finished look.",Ekena Millwork,7.9,USD
12 in. Balsam Fir Classic Christmas Fresh Kissing Ball Arrangement : Multiple Ship Weeks Available,"Fresh Maine balsam fashioned into a hanging ball. Decorated with faux holly berries, real pinecones, and a red, hand-tied, weatherproof, velveteen bow, with ribbon tails. The Christmas ball comes with a metal looped chain perfect for hanging.",Worcester Wreath,26.98,USD
1 gal. #N210-6 Swiss Brown Eggshell Enamel Interior Paint & Primer,"Love your space like never before with the high-performance formulation of BEHR MARQUEE Interior Paint. This advanced stain-blocking paint & primer provides long-lasting beauty with exceptional durability and stain resistance. Your walls will stay looking fresh and beautiful year after year – backed by a Lifetime Limited Warranty, see back label for details.  A primer coat may be needed on some surfaces. See back label for details.",BEHR MARQUEE,45.98,USD
Double Strawberry' Framed Food Art Print 19 in. x 13 in.,"Make any space in your home innovative and unique by adding this Modern and Contemporary art piece made by real artists. With an overarching Pink color and Painted texture that will add a dynamic feel to your home decor. This Food and Beverage wall decor is printed using ultra-premium and fade resistant inks to guarantee high definition and vivid colors. Each piece is professionally hand framed in a 1.2 in. white frame and finishes with premium non-glare plexiglass. Our wall art is carefully wrapped with a layer of shrink-wrap that protects the surface and then wrapped with heavy-duty bubble wrap, ensuring its safe arrival to its new home. This Food and Cuisine art print is the perfect finishing touch to your home decor theme.",Wynwood Studio,30.31,USD
Hercules Lesley Series Contemporary White Leather Chair with Encasing Frame,"Your office reception space speaks to who your are as a company and this white LeatherSoft upholstered chair with encasing frame makes quite a statement. This trendsetting piece features a straight arm design and foam filled, tufted, fixed back and seat cushion for exceptional comfort. LeatherSoft is leather and polyurethane for added softness and durability. The integrated stainless steel frame and exposed accent bar not only add style, they are rust resistant and will keep up with the rigors of commercial use. Make a great impression on your clients, customers, and guests with this innovative contemporary chair. This progressive style seating brings comfort and trend-setting style to your waiting room, reception area or home.",Flash Furniture,752.36,USD
6 in. x 4 in. x 9 in. Alder Arts and Crafts Corbel,"Enjoy the warmth and beauty of authentic hand-carved hardwood brackets and corbels. With the proper installation, our wood brackets and corbels can support up to 250lbs, which gives you the flexibility to use in decorative applications or load bearing. Available in a variety of wood species, including paint grade, these brackets and corbels are sure to suit any project needs.  They arrive sanded and ready for paint or stain.",Ekena Millwork,45.59,USD
New White Power Nozzle Designed to Fit All Brands of Vacuums,"New power nozzle Designed by GV for all Central vacuum units. This is a high end power nozzle with 6 levels of height adjustment, on/off switch, LED Lights, reset, rubber bumper to protect walls and viewing window so you can keep brush roll clean. The height adjustment allows you to easily transition from any hard floor surface to the thickest carpet. Led lights take low amount of power and are long lasting. Reset switch ensures longevity of your head by turning the motor off if the head becomes overworked or clogged. Fits any central vacuum system that has a 2 round prong cord. Fits most systems: Beam, Electrolux, Hayden, Nutone, Aggressor, AirVac, Eureka, Honeywell, Hoover, Royal and more. If your power nozzle/head DOES NOT have a cord coming out of the back, then this WILL NOT fit your current system.",GV,109.99,USD
Designer Series Melvern Storm Gray 0.75 in. x 30 in. x 12 in. Melvern Decorative End Panel,"Hampton Bay designer series decorative end panel is designed to help add a finished look to your kitchen cabinetry. The finish is designed to match your kitchen decor. Bring a decorative touch to your kitchen wall cabinet by finishing it with a matching end panel. With Hampton Bay designer series accessories, you can personalize your space, add designer touches, and personalize your space with affordable custom elements that only look expensive.",Hampton Bay,54.57,USD
Quartz Yellow Paper Strippable Roll (Covers 57 sq. ft.),"An amazing retro inspired geometric design that is sure to create that on-trend look. With two intertwining geometric designs in a yellow and grey colorway, it's perfect for a feature wall. Ideal for any home and would suit bedrooms, hallways and living rooms.",Arthouse,18.15,USD
1 gal. #110B-6 Cran Brook Semi-Gloss Enamel Low Odor Interior Paint & Primer,"BEHR PREMIUM PLUS Interior Paint & Primer offers exceptional durability and hide with a finish that resists mildew and stains. In addition, you'll enjoy the benefits of a low odor paint. PREMIUM PLUS is highly ranked by independent 3rd party labs and meets LEED and GREENGUARD GOLD requirements.",BEHR PREMIUM PLUS,33.98,USD
"8 in. x 8 in. x 5 ft. Rough Cedar Faux Wood Beam Fireplace Mantel, Burnished Pine","Our faux wood mantels capture the rustic nature of authentic beams at a fraction of the cost and installation time. These hand-painted, lightweight composite mantels are simple to install over a wood block securely attached to studs in any fireplace or wall. You can also use them as a functional piece of art or a beautiful floating shelf.",Ekena Millwork,496.25,USD
"24 in. x 30 in. ""Bright Colored Painting Girls Reading at the Beach"" by Patti Mollica Framed Wall Art","First came wood, then came canvas, and now we introduce our 'Framed Giclee Textured Wall Art. We start with a giclee lithograph mounted on wood, and finish it with a texturized brush stroke finish. We didn't stop there though as we fit it within a 1.5 in. thick ebony wood grain frame to add depth and dimension. Ready to hang.",The Stupell Home Decor Collection,73.91,USD
24 in. x 24 in. x 1/8 in. Thick Acrylic Orange 2119 Sheet,"Falken Design Acrylic has many benefiting characteristics like glossy surface, weather resistance, sturdy, durable, light weight, thermoplastic and innovative. Acrylic is lighter and stronger alternative to glass. It is easier to fabricate than glass. It is suitable for a wide range of products: sign boards, lighting, aquarium, shades, furniture.",Falken Design,28.79,USD
Mini 1-Light Antique Bronze Indoor/Outdoor Lamp/Lantern Wall Mount/Wall Sconce with Clear Cylindrical Glass,"This indoor or outdoor antique bronze lamp/lantern wall mount or wall sconce features clear cylindrical glass. Enjoy this piece's sleek, modern design. Perfect for many indoor or outdoor areas. Enjoy rain or shine conveniently suitable for wet locations. Beautifully finished in a sophisticated antique bronze.",Volume Lighting,99,USD
Belmore 30.25 in. to 31.25 in. x 72 in. Frameless Hinged Shower Door in Chrome,"The Belmore Frameless Hinged Shower Door provides universal sophistication and quality craftsmanship to your bathroom's decor. Available in a vast array of sizes, the Belmore is designed to meet the solution of uneven walls with its inline wall channel providing up to 1 in. out-of-plumb adjustment. The Belmore comes ready to install and will breathe new life into your existing bathroom's interior. Its StarCast by EnduroShield coated premium clear 3/8 in. tempered safety glass; tested and certified to ANSI Z97.1 Standard, hardware constructed of durable stainless steel and leak-seal edge strips make the Belmore a smart, stylish solution to your existing alcove. A perfect door with a perfect fit, only from Aston. Shower base not available.",Aston,584.95,USD
ZTE Maven 2/ Avid Trio Air Cushion Case in Clear,"The REIKO refined air cushion case are designed into a streamline, one-piece construction. Made from two formidable materials molded together for dependable shock-absorption, unique, sleek design with raised edges forms the ultimate slim protection and keeps the features of your device accessible at all times. Ultra flexible back panel with air cushion absorbs and dissipates all impact force, preserving the natural beauty of your device. Pocket ready, designed in New York. This case is for ZTE Maven 2/ Avid Trio.",REIKO,15.37,USD
1 in. x 3/4 in. NPT x MPT 1-1/4 in. Galvanized Steel Pipe x 3 ft. Bury Y2 Auto Drain Backflow Protected Yard Hydrant,"The Woodford Model Y2 (Orange Head) 1 in. NPT variable-flow yard hydrant is immediate-flowing, even in sub-zero conditions, and is made in the USA. Includes a Nidel Model 50HF double-check backflow preventer. The adjustable linkage provides easy and positive adjustment of the lever lock tension. A rod guide eliminates side pull on the rod, reducing wear on the packing, packing nut and the stem. The one piece variable-flow plunger and the large cushion type seal for long life, assuring shut-off, even when foreign particles are present in the water line. The flow finder and lock automatically sets the same flow each time or can be locked against accidental opening. And the Y2 automatically drains when shut-off.",Woodford,270.62,USD
Fluted Square 3 in. (76 mm) Champagne Bronze Drawer Pull,"The Fluted Square collection from Liberty brings a dynamic movement to your cabinetry with its subtle texturing. The fluting details are complimented by the classic champagne bronze tone adding flair and balance to your kitchen or bathroom. Update your cabinetry easily by adding the Fluted Square collection, square cabinet knob, elongated T knob and additional pull lengths available as well.",Liberty,6.15,USD
Flat Cloth 47 in. x 23 in. x 1 in. Cosmopolitan Full Set Seat Covers,"Protect your car seats and preserve their lifespan with these beautifully designed covers. Striped panels frame the center of our super soft fabric to upgrade the look of your interior while keeping things simple and uncluttered. 3 mm of breathable foam padding keeps you cool and comfortable, even on the hottest summer days. Comes with a bonus silicone dash mat in black.",FH Group,40.77,USD
1 qt. #640A-1 Soft Iris Flat Exterior Paint & Primer,"BEHR PREMIUM PLUS Exterior Paint & Primer is a 100% Acrylic, low VOC formula designed for a long-lasting finish that resists moisture, fading & stains and provides a mildew and corrosion resistant finish. It delivers exceptional hide and excellent touch-up while also providing comprehensive all-climate protection.",BEHR PREMIUM PLUS,16.98,USD
4 ft. x 144 ft. Grey Privacy Fence Screen HDPE Mesh Windscreen with Reinforced Grommets for Garden Fence (Custom Size),"Tired of your neighbor's dog barking at your kids or your neighbor spying on you. Protect your privacy with COLOURTREE Privacy Fence Screens, built with care and made of 170 GSM 100% non-recycled high-density polyethylene (HDPE), reinforced stitched edges with black bindings and durable anti-rust brass grommets. Our fence screens are proven to hold up strong through wind, sun and rain while providing 90% visibility and 93% UV blockage. Installation is simple with zip ties and a generous amount of grommets to keep a tight fit. Our wide variety of colors and sizes are ideal for both residential and industrial fences, providing style and privacy to your backyard, patio, tennis court, pool, construction project, park, etc.",COLOURTREE,241.41,USD
Irenea Tan/Ivory 7 ft. 10 in. x 11 ft. 1 in. Medallion Area Rug,"Inspired by the vintage perfection of sun-bathed Turkish designs, the Myriad collection is warm and inviting with faded yet moody hues. The Irenea rug boasts an elegantly distressed, ornate medallion in tones of tan, ivory, pink, and blue with ivory fringe trim for added texture and antique allure. This power-loomed rug features a plush and durable blend of polyester and polypropylene, lending the ideal accent to high-traffic spaces.",Jaipur Living,670,USD
8 oz. #P140-7 No More Drama Satin Enamel Interior/Exterior Paint & Primer Color Sample,"The BEHR PREMIUM PLUS 8 oz. Interior/Exterior Paint Sample lets you try a color before you buy it. This sample is 100% acrylic latex paint that provides a long-lasting, tough finish. For a true idea of whole-room coverage this sample can be tested on almost any interior or exterior surface and covers up to 16 sq. ft.",BEHR PREMIUM PLUS,3.98,USD
"36 in. x 84 in. Dark Brown Painted Wood Sliding Door with Hardware Kit, Pre-Drilled Ready to Assemble","The Akicon Wood Barn Door combination contains everything needed to transform any doorway to a stylish transition between spaces, the rustic steel hardware and pine barn door are the intersections of style and functionality, perfect for bedrooms, kitchens, office, dining rooms and many more settings, we proudly make Akicon Barn doors and offer the most popular American farmhouse styles and many size options. It's easy to assemble Paneled Wood Stained Barn Door takes minutes to put together. Akicon Barn doors are designed to be easy Do-It-Yourself projects, so customers can build one of a kind barn door at a budget-friendly price. You are not only buying a barn door from us but also bringing home a piece of natural artwork.",Akicon,429.99,USD
Avalon Towel Ring in Tuscan Bronze,"Time Honored Qualities such as elegance, tradition and symmetry have been gracefully reflected in the Avalon Bath Collection. With smooth and sleek curves reminiscent of a seaside escape, it's no wonder the Avalon Collection is the perfect complement to any bath. We've made coordinating the look of your entire home as easy as asking for the Avalon Collection.",Pfister,40.99,USD
57-Piece Gold Border Porcelain Dinnerware Set,"Entertaining is made easy with this complete dining set in one box. This dinnerware set from Lorren Home Trends is made of fine and durable porcelain, complete with serving pieces. Elegant and attractive dinnerware set, perfect for everyday use or a holiday gathering. This set features an elegant and modern cris cross gold design border. Set Includes: 8-10.5 in. Dinner Plates, 8-8.5 in. Soup Bowl, 8-7.5 in. Salad/bread and butter dishes, 8-8 oz. Cups, 8-Saucers, 8-5.5 in. Fruit or Dessert bowls, 1-14 in. Oval Platter, 1-9 in. Serving Bowl, 1-Salt and Pepper set, 1-Teapot with lid, 1-Creamer and 1-Sugar Bowl with lid. Dishwasher safe dinnerware.",Lorren Home Trends,175.22,USD
1/2 in. Drive 1-1/4 in. Deep 6-Point Impact Socket,Husky 1/2 in. drive Impact Sockets are manufactured from chrome molybdenum alloy steel and designed to withstand rigors of heavy-duty use. Size markings have been hard stamped into the sockets for quick and easy identification that will never wear away. Each socket features chamfered lead-ins on both ends allowing for easy attachment to drive tools and placement onto fasteners.,Husky,9.97,USD
1 qt. #MQ2-4 Butterscotch Amber Extra Durable Satin Enamel Interior Paint & Primer,"BEHR ULTRA SCUFF DEFENSE Stain-Blocking Paint and Primer* is an interior paint that's too tough to scuff and sets a new standard for paint durability. BEHR ULTRA SCUFF DEFENSE features breakthrough innovation to deliver a rich finish that is truly durable enough for high-traffic areas.This lush, versatile sheen creates a pearl-like appearance that's ideal for the walls but also for trim, doors, cabinets and indoor furniture. Don't settle or compromise between the look you desire and higher level of durability you require. *A PRIMER COAT MAY BE NEEDED ON SOME SURFACES. SEE BACK LABEL FOR DETAILS.",BEHR ULTRA,17.48,USD
1 gal. #HDGV43U Ice Mist Eggshell Interior Paint with Primer,"Glidden Premium eggshell interior paint with primer offers exceptional value and a quality finish that helps beautify your bedrooms, hallways, home offices and family rooms. Glidden Premium is a Zero VOC, Low Odor paint with primer that features good hide and coverage, a scrubbable and washable coating and a thick, easy to apply formula - all backed by a Lifetime Guarantee. Glidden Premium provides a mildew resistant coating that can be tinted into more than 1,100 Glidden colors and is formulated for lasting results, often for less than other leading brands. For more than 140-years, painters have trusted Glidden and Glidden paints to help them achieve smart, beautiful results and Glidden Premium delivers on this tradition with a durable finish at an exceptional value. Colorants added to this base paint may increase VOC level significantly depending on color choice.",Glidden Premium,20.98,USD
